 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,0.9441954,0.9182645,0.92599684,0.90362036,0.9147924,0.9276644,0.93685603,0.9176197,0.9012339,0.9431463,0.9999997,0.9206643,0.94163996,0.8939544,0.8982807,0.93194824,0.9126539,0.89534134,0.9254055,0.92747587,0.91830283,0.9087069,0.9033405,0.88534343,0.9110253,0.9163875,0.9091854,0.93094575,0.93109673,0.90632963,0.93062085,0.89537805,0.92804456,0.92825407,0.95158273,0.8763442,0.91782415,0.9261268,0.91167706,0.9461934,0.92695224,0.92589295,0.92270046,0.9062375,0.9170223,0.8943253,0.9212114,0.91737723
11,0.93307835,0.9325031,0.92794114,0.887424,0.9140245,0.8979479,0.9127373,0.8977518,0.9625672,0.9240754,0.9206643,1.0000004,0.93938184,0.8871875,0.94910324,0.93501294,0.91519123,0.8786725,0.88925964,0.92648125,0.893759,0.9038207,0.89643264,0.863364,0.9011307,0.89776313,0.9111906,0.9085842,0.9197036,0.9035503,0.9618302,0.94670063,0.924004,0.9061699,0.92001307,0.9330697,0.9077319,0.92238766,0.89691293,0.93152803,0.91098946,0.9000534,0.9257847,0.88054043,0.89433515,0.90290785,0.9209931,0.95242
12,0.9516231,0.9285629,0.94908816,0.9057259,0.9245167,0.90495485,0.9337484,0.922568,0.92239326,0.9318983,0.94163996,0.93938184,0.99999976,0.8890663,0.90864396,0.9290234,0.9196737,0.90038174,0.90342027,0.9341489,0.9034432,0.9181852,0.89950776,0.8778699,0.9095594,0.92258155,0.9183463,0.92604184,0.92312425,0.9071969,0.946516,0.9086665,0.9299647,0.91449106,0.9516944,0.89455914,0.91903806,0.9278962,0.9074112,0.94759,0.93903154,0.91683114,0.92647177,0.88777375,0.911564,0.90935194,0.92447907,0.92420477
13,0.8956044,0.8914358,0.8837477,0.89788723,0.90587807,0.90310717,0.8924781,0.9282964,0.873464,0.909021,0.8939544,0.8871875,0.8890663,1.0,0.8579103,0.89313024,0.9090671,0.88074666,0.89637697,0.88372356,0.9108876,0.92481756,0.9074405,0.90328544,0.9223514,0.9172122,0.91102755,0.9230896,0.893161,0.91955996,0.9076439,0.8545258,0.89133716,0.8982083,0.9006671,0.8418735,0.91464126,0.8904727,0.91301465,0.912657,0.9063997,0.9261522,0.9062374,0.9154725,0.92260593,0.9083424,0.8914634,0.8795496
14,0.90934163,0.8989171,0.90008295,0.8576126,0.88760215,0.8845563,0.9026869,0.8807163,0.9398521,0.90249,0.8982807,0.94910324,0.90864396,0.8579103,1.0000001,0.90865475,0.875425,0.85669404,0.8667057,0.90995663,0.8781516,0.8877426,0.8768909,0.85919285,0.8660701,0.8755782,0.8832877,0.8879257,0.9061742,0.8759305,0.9227316,0.98151904,0.90066177,0.88602686,0.90206975,0.96139014,0.8733307,0.9058532,0.884202,0.901809,0.89208305,0.87382036,0.89020324,0.8625077,0.8845194,0.87156975,0.90384394,0.93606156
15,0.95718646,0.921958,0.9223978,0.8900422,0.9044679,0.9143813,0.94834745,0.9056649,0.92298186,0.9289931,0.93194824,0.93501294,0.9290234,0.89313024,0.90865475,0.9999999,0.9083453,0.8950746,0.89636225,0.91160226,0.9174421,0.9118663,0.9040488,0.8781031,0.8998254,0.8992097,0.90574646,0.9280794,0.91274256,0.9128558,0.9207152,0.9074305,0.93526345,0.92990804,0.9380902,0.89693207,0.9272825,0.92940456,0.9273199,0.9514395,0.92555517,0.9089715,0.92564505,0.90982246,0.912194,0.9092401,0.9101171,0.9141358
16,0.91150403,0.90689194,0.90180296,0.93057394,0.92828494,0.9070642,0.90190536,0.920518,0.8976369,0.9182245,0.9126539,0.91519123,0.9196737,0.9090671,0.875425,0.9083453,0.99999994,0.8964563,0.9193948,0.91154677,0.9087561,0.9244858,0.9115641,0.8938554,0.9408455,0.91619843,0.92432946,0.9303558,0.9153691,0.92984474,0.93576753,0.8740626,0.9038531,0.9285555,0.91690874,0.8619014,0.92375076,0.89261186,0.9231347,0.9251708,0.9123364,0.9194147,0.9276824,0.90568936,0.92106974,0.9162112,0.9149241,0.89952457
17,0.9042642,0.87547404,0.883455,0.8916113,0.8911798,0.9041618,0.8894695,0.9061259,0.8667667,0.8995801,0.89534134,0.8786725,0.90038174,0.88074666,0.85669404,0.8950746,0.8964563,0.99999994,0.90187883,0.87560093,0.92289555,0.9063624,0.91021365,0.8765217,0.88116,0.9033395,0.88533366,0.91569346,0.8824006,0.8882485,0.8858004,0.8547706,0.8967736,0.90659577,0.89381135,0.8355866,0.9168659,0.8829251,0.8892425,0.899341,0.8923167,0.8883689,0.9046486,0.90327114,0.903628,0.8926271,0.8783397,0.87882423
18,0.905574,0.8940283,0.87652814,0.9054523,0.9234061,0.94533557,0.91237116,0.9354036,0.8869748,0.90725344,0.9254055,0.88925964,0.90342027,0.89637697,0.8667057,0.89636225,0.9193948,0.90187883,1.0000001,0.8881584,0.91175145,0.9191521,0.91917646,0.9006489,0.9062794,0.9253458,0.9237311,0.95033854,0.8929252,0.91860753,0.9073425,0.86551166,0.88685405,0.9173483,0.91218066,0.84708655,0.9186205,0.9052627,0.9210513,0.9144665,0.9007148,0.92951375,0.9325819,0.90733165,0.92799723,0.915895,0.89633465,0.91003704
19,0.9233437,0.9298284,0.93663824,0.90425026,0.89231277,0.88764304,0.908418,0.9102082,0.90602434,0.93221825,0.92747587,0.92648125,0.9341489,0.88372356,0.90995663,0.91160226,0.91154677,0.87560093,0.8881584,0.99999964,0.8988676,0.89665556,0.89351445,0.8790977,0.9161289,0.904275,0.90648305,0.898314,0.9285277,0.89090157,0.94685376,0.9129897,0.9035104,0.90456223,0.9357291,0.90223825,0.90213877,0.9222235,0.8952303,0.9309207,0.93086195,0.8981876,0.9046399,0.87757117,0.90483445,0.876127,0.94278765,0.9114577
